epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,8352.46,1.59681,0.90411,1.45608,0.80157,0.76547,0.77065,0.18264,0.29978,2.03156,1.30922,2.06148,0.00851333,0.00851333,0.00851333
40,8555.18,1.58636,0.90617,1.45153,0.80195,0.77917,0.78207,0.20148,0.31313,2.01819,1.26792,2.06747,0.00843851,0.00843851,0.00843851
41,8754.14,1.59294,0.9026,1.4556,0.79147,0.76839,0.76026,0.19308,0.31152,2.00678,1.2661,2.05377,0.0083622,0.0083622,0.0083622
42,8954.6,1.58211,0.88692,1.44855,0.77321,0.74837,0.73953,0.19219,0.30166,2.03064,1.30671,2.07399,0.00828443,0.00828443,0.00828443
43,9152.9,1.57812,0.87256,1.43656,0.81759,0.76331,0.78411,0.1963,0.31591,2.00369,1.2303,2.04673,0.00820525,0.00820525,0.00820525
44,9351.02,1.56993,0.85854,1.43914,0.80418,0.74732,0.74318,0.18581,0.30524,2.03621,1.26064,2.07311,0.00812468,0.00812468,0.00812468
45,9549.21,1.56681,0.86592,1.44389,0.82564,0.78827,0.78784,0.20817,0.32862,1.97777,1.22618,2.03505,0.00804277,0.00804277,0.00804277
46,9745.23,1.56662,0.86606,1.43441,0.8106,0.76217,0.75566,0.20645,0.31281,2.01127,1.25411,2.06049,0.00795954,0.00795954,0.00795954
47,9942.65,1.57119,0.86524,1.43894,0.81881,0.78744,0.80132,0.22792,0.33908,1.96275,1.18114,2.01782,0.00787503,0.00787503,0.00787503
48,10144.9,1.5586,0.83873,1.4319,0.82248,0.78669,0.79566,0.20169,0.32367,2.0264,1.21597,2.07951,0.00778929,0.00778929,0.00778929
49,10346.6,1.55635,0.8391,1.42642,0.81093,0.7717,0.77835,0.20548,0.32669,2.00076,1.18924,2.04877,0.00770234,0.00770234,0.00770234
50,10547.9,1.55077,0.8373,1.4272,0.80635,0.76689,0.77056,0.21769,0.32361,2.02246,1.20238,2.07171,0.00761423,0.00761423,0.00761423
51,10744.1,1.55461,0.83812,1.42832,0.82176,0.75634,0.77599,0.21541,0.32485,2.00778,1.20089,2.05916,0.007525,0.007525,0.007525
52,10940.7,1.55127,0.82777,1.43169,0.81311,0.77247,0.78305,0.21458,0.32702,2.01982,1.16886,2.07329,0.00743468,0.00743468,0.00743468
53,11136.8,1.546,0.81406,1.42309,0.81439,0.75808,0.78913,0.21358,0.33515,1.99878,1.15301,2.06575,0.00734332,0.00734332,0.00734332
54,11337.4,1.54861,0.82353,1.42557,0.82429,0.76199,0.78637,0.21306,0.33071,1.98688,1.20329,2.05896,0.00725094,0.00725094,0.00725094
55,11538.1,1.53407,0.81011,1.41416,0.8245,0.76528,0.78092,0.21535,0.31997,1.9991,1.2098,2.06865,0.00715761,0.00715761,0.00715761
56,11739,1.53022,0.8002,1.41713,0.82345,0.80043,0.79824,0.22686,0.33403,1.99779,1.21475,2.05859,0.00706335,0.00706335,0.00706335
57,11939.6,1.53005,0.80058,1.41286,0.82912,0.78295,0.79314,0.21561,0.32814,2.01296,1.19754,2.07406,0.0069682,0.0069682,0.0069682
58,12140.2,1.52397,0.79895,1.41103,0.83047,0.7941,0.78634,0.22086,0.32566,1.98496,1.2017,2.05831,0.00687222,0.00687222,0.00687222
59,12341.3,1.53464,0.78159,1.41201,0.82304,0.78205,0.78175,0.20925,0.32593,2.01571,1.19433,2.07481,0.00677543,0.00677543,0.00677543
60,12542.1,1.5234,0.7888,1.41662,0.83314,0.76449,0.7809,0.21037,0.32812,2.00095,1.18655,2.06943,0.00667789,0.00667789,0.00667789
61,12742.2,1.51957,0.78494,1.40532,0.81299,0.76753,0.78342,0.21819,0.32496,1.99692,1.12648,2.07302,0.00657963,0.00657963,0.00657963
62,12941.8,1.50985,0.77947,1.40068,0.81726,0.76629,0.77977,0.22613,0.32572,1.99348,1.14355,2.06422,0.00648071,0.00648071,0.00648071
63,13142.5,1.52142,0.78191,1.41042,0.83892,0.7828,0.79823,0.21943,0.3345,1.99261,1.14971,2.05957,0.00638115,0.00638115,0.00638115
64,13342.8,1.50782,0.77139,1.39636,0.83661,0.77815,0.78453,0.21562,0.32622,2.01213,1.13539,2.07874,0.00628101,0.00628101,0.00628101
65,13542.9,1.50458,0.76939,1.4002,0.81773,0.77628,0.75734,0.213,0.31963,1.9935,1.14603,2.07826,0.00618034,0.00618034,0.00618034
66,13743.6,1.50868,0.76329,1.40061,0.81084,0.77635,0.76554,0.22972,0.32533,1.98398,1.14611,2.07434,0.00607916,0.00607916,0.00607916
67,13943.5,1.49548,0.75527,1.39763,0.8218,0.77016,0.7756,0.21462,0.32493,2.00052,1.15246,2.09147,0.00597754,0.00597754,0.00597754
