epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,9632.91,1.42351,0.64971,1.01537,0.83431,0.7944,0.79505,0.2337,0.34573,1.99529,1.23128,1.35519,0.00851333,0.00851333,0.00851333
40,9886.33,1.42352,0.6516,1.01303,0.83032,0.80754,0.80459,0.24139,0.34464,1.97473,1.21037,1.35111,0.00843851,0.00843851,0.00843851
41,10131.2,1.42722,0.65063,1.01405,0.82568,0.814,0.77737,0.2406,0.33933,1.9641,1.10989,1.34537,0.0083622,0.0083622,0.0083622
42,10378.2,1.41176,0.64121,1.00849,0.84154,0.8009,0.79422,0.23435,0.34014,1.9643,1.15878,1.35555,0.00828443,0.00828443,0.00828443
43,10627,1.40979,0.6413,1.00823,0.83206,0.79598,0.78355,0.23242,0.33988,1.9864,1.14538,1.36444,0.00820525,0.00820525,0.00820525
44,10876,1.40728,0.64516,1.00579,0.83157,0.80748,0.79058,0.22651,0.34538,1.96996,1.14007,1.34875,0.00812468,0.00812468,0.00812468
45,11124,1.40629,0.63551,1.01082,0.82119,0.80116,0.78046,0.22993,0.33818,1.98583,1.17053,1.36615,0.00804277,0.00804277,0.00804277
46,11375.7,1.39947,0.62785,1.00285,0.8268,0.79767,0.7752,0.22798,0.33456,1.98188,1.18985,1.36103,0.00795954,0.00795954,0.00795954
47,11624,1.40108,0.63326,1.00359,0.83839,0.808,0.78761,0.24261,0.3386,1.99049,1.1695,1.3609,0.00787503,0.00787503,0.00787503
48,11871.8,1.38414,0.62824,1.00052,0.8288,0.80771,0.7871,0.23153,0.34234,1.99195,1.1796,1.35547,0.00778929,0.00778929,0.00778929
49,12120.5,1.38899,0.63275,1.00134,0.8374,0.80566,0.78587,0.25641,0.3461,1.96078,1.12237,1.35368,0.00770234,0.00770234,0.00770234
50,12368.6,1.37567,0.61635,0.99949,0.81267,0.80735,0.76053,0.24702,0.33582,1.99275,1.18641,1.36817,0.00761423,0.00761423,0.00761423
51,12615.3,1.3774,0.61615,1.00175,0.8327,0.79811,0.77686,0.24609,0.34311,2.00242,1.18116,1.37137,0.007525,0.007525,0.007525
52,12860.5,1.37602,0.61005,0.99367,0.83868,0.80783,0.78365,0.25012,0.34427,1.96555,1.15808,1.35625,0.00743468,0.00743468,0.00743468
53,13105.3,1.36516,0.6067,0.99581,0.831,0.81523,0.80296,0.26472,0.35304,1.9637,1.13844,1.35262,0.00734332,0.00734332,0.00734332
54,13350.3,1.36648,0.60265,0.99464,0.83571,0.80644,0.78757,0.25883,0.34998,1.97902,1.16281,1.36356,0.00725094,0.00725094,0.00725094
