epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,6465.28,0.96344,0.81643,1.41918,0.82422,0.79932,0.83584,0.22657,0.3524,1.23189,1.08933,1.99629,0.00909984,0.00909984,0.00909984
41,6629.9,0.95676,0.80909,1.40908,0.81981,0.7727,0.7826,0.20689,0.32611,1.24746,1.15158,2.02202,0.00905463,0.00905463,0.00905463
42,6791.03,0.96258,0.8104,1.42068,0.80703,0.78597,0.81222,0.17892,0.33233,1.27264,1.0874,2.04428,0.00900844,0.00900844,0.00900844
43,6952.23,0.95816,0.80153,1.41193,0.83215,0.77707,0.79596,0.22162,0.3447,1.22713,1.08131,1.99391,0.00896127,0.00896127,0.00896127
44,7113.37,0.95601,0.7964,1.40875,0.78477,0.76089,0.77084,0.19407,0.32268,1.2576,1.12436,2.0447,0.00891313,0.00891313,0.00891313
45,7274.57,0.95733,0.79193,1.41252,0.81306,0.80157,0.78926,0.21228,0.32779,1.24386,1.12246,2.02119,0.00886404,0.00886404,0.00886404
46,7430.23,0.94913,0.7842,1.40654,0.8135,0.78282,0.78071,0.20251,0.32801,1.23505,1.12131,2.0203,0.00881401,0.00881401,0.00881401
47,7591.11,0.94999,0.77948,1.40123,0.82716,0.79815,0.79549,0.22456,0.34413,1.22727,1.12161,1.99977,0.00876305,0.00876305,0.00876305
48,7752.27,0.94944,0.77457,1.40899,0.82739,0.76955,0.79465,0.20161,0.33492,1.27064,1.1374,2.05763,0.00871117,0.00871117,0.00871117
49,7913.38,0.94332,0.77002,1.39866,0.81761,0.78334,0.77433,0.18984,0.31518,1.27733,1.10312,2.0976,0.00865839,0.00865839,0.00865839
50,8074.52,0.947,0.76761,1.40945,0.80906,0.76246,0.75831,0.18861,0.30313,1.28559,1.12051,2.09554,0.00860473,0.00860473,0.00860473
51,8234.21,0.93557,0.75587,1.39306,0.82956,0.80455,0.81788,0.20114,0.33292,1.26176,1.09112,2.05091,0.00855018,0.00855018,0.00855018
52,8394.38,0.93705,0.7557,1.39651,0.82414,0.78682,0.78517,0.19938,0.33366,1.24117,1.10529,2.0086,0.00849477,0.00849477,0.00849477
53,8555.34,0.9332,0.74943,1.39338,0.81018,0.81369,0.8156,0.19966,0.32352,1.29218,1.06166,2.1154,0.00843851,0.00843851,0.00843851
54,8716.51,0.9336,0.75056,1.39016,0.81279,0.78987,0.76957,0.20036,0.32398,1.2596,1.09407,2.06816,0.00838141,0.00838141,0.00838141
55,8877.72,0.92468,0.74084,1.38204,0.82669,0.78971,0.80381,0.19674,0.34079,1.25971,1.04127,2.06547,0.00832349,0.00832349,0.00832349
56,9036.97,0.9292,0.74779,1.37955,0.81609,0.79713,0.80203,0.20065,0.33265,1.25556,1.06205,2.04377,0.00826477,0.00826477,0.00826477
57,9198.65,0.92887,0.73712,1.38694,0.82653,0.80421,0.79198,0.19492,0.32851,1.26798,1.08905,2.10407,0.00820525,0.00820525,0.00820525
58,9359.75,0.92778,0.73239,1.3854,0.82749,0.79345,0.78059,0.18475,0.32328,1.2664,1.08552,2.06208,0.00814495,0.00814495,0.00814495
59,9520.88,0.93343,0.73631,1.39023,0.83439,0.79487,0.79311,0.22583,0.34807,1.2231,1.02327,1.9953,0.00808389,0.00808389,0.00808389
60,9682.07,0.92647,0.72987,1.3825,0.83853,0.78183,0.77633,0.19614,0.32551,1.25263,1.09001,2.05485,0.00802208,0.00802208,0.00802208
61,9840.67,0.92318,0.73418,1.37513,0.83294,0.80921,0.8076,0.21095,0.33053,1.25596,1.07089,2.05969,0.00795954,0.00795954,0.00795954
62,10003.6,0.92341,0.72995,1.38298,0.85715,0.80697,0.82481,0.21411,0.34492,1.23093,1.03045,2.02066,0.00789628,0.00789628,0.00789628
63,10164.8,0.91548,0.72346,1.37654,0.82567,0.79172,0.79618,0.19648,0.32585,1.26521,1.09361,2.08618,0.00783231,0.00783231,0.00783231
64,10326,0.92132,0.72481,1.37622,0.82576,0.78816,0.77252,0.22268,0.33402,1.2343,1.04956,2.0481,0.00776766,0.00776766,0.00776766
65,10487,0.91111,0.71699,1.36626,0.84196,0.79819,0.78885,0.22954,0.34001,1.23557,1.02383,2.05438,0.00770234,0.00770234,0.00770234
66,10644.3,0.92027,0.71638,1.37844,0.82904,0.79247,0.78204,0.20132,0.32758,1.25412,1.08321,2.07363,0.00763637,0.00763637,0.00763637
67,10807.4,0.91225,0.70503,1.37031,0.82842,0.79445,0.77502,0.22009,0.3316,1.23869,1.09697,2.05332,0.00756976,0.00756976,0.00756976
68,10968.5,0.90832,0.71684,1.36771,0.82507,0.78924,0.77586,0.21359,0.3321,1.2482,1.05706,2.08243,0.00750252,0.00750252,0.00750252
69,11129.6,0.90506,0.70278,1.36053,0.8277,0.78613,0.78723,0.22643,0.34206,1.2468,1.05296,2.07256,0.00743468,0.00743468,0.00743468
70,11290.8,0.90564,0.70088,1.3628,0.82712,0.79968,0.78957,0.22603,0.33825,1.22797,1.06382,2.0389,0.00736625,0.00736625,0.00736625
71,11446.7,0.90696,0.69994,1.36443,0.85746,0.80534,0.82798,0.21913,0.34249,1.23196,1.01987,2.03769,0.00729725,0.00729725,0.00729725
72,11611.1,0.90383,0.69965,1.36094,0.84571,0.80814,0.82064,0.22765,0.34338,1.2378,1.03449,2.05714,0.0072277,0.0072277,0.0072277
73,11772.3,0.90136,0.69778,1.35911,0.82692,0.79761,0.78065,0.21266,0.33142,1.25393,1.05032,2.08584,0.00715761,0.00715761,0.00715761
74,11933.5,0.89679,0.69612,1.35238,0.85225,0.8067,0.8228,0.2245,0.34417,1.23495,1.02682,2.05652,0.007087,0.007087,0.007087
75,12094.5,0.89623,0.68718,1.35365,0.85134,0.81548,0.83168,0.22411,0.34386,1.2391,1.02882,2.055,0.00701588,0.00701588,0.00701588
76,12255.6,0.89909,0.68634,1.35693,0.85361,0.80572,0.81519,0.22369,0.33417,1.24774,1.03467,2.08389,0.00694428,0.00694428,0.00694428
77,12416,0.89651,0.68153,1.34823,0.82603,0.80233,0.78339,0.22251,0.33723,1.24357,1.02671,2.079,0.00687222,0.00687222,0.00687222
78,12577.1,0.88967,0.67925,1.34838,0.84363,0.81466,0.81674,0.21827,0.3429,1.24192,1.05371,2.08519,0.0067997,0.0067997,0.0067997
79,12738.2,0.89367,0.68265,1.34747,0.85018,0.81535,0.81972,0.22919,0.34579,1.23698,1.02212,2.07742,0.00672675,0.00672675,0.00672675
80,12899.4,0.89142,0.67667,1.35143,0.8434,0.80188,0.81394,0.22184,0.34431,1.24519,1.00078,2.08701,0.00665339,0.00665339,0.00665339
81,13060.6,0.89307,0.68123,1.34504,0.83564,0.81021,0.80056,0.20785,0.33225,1.2549,1.03329,2.10484,0.00657963,0.00657963,0.00657963
82,13220.6,0.88237,0.67163,1.34025,0.84641,0.8214,0.82119,0.22989,0.33943,1.2418,1.03448,2.0786,0.0065055,0.0065055,0.0065055
83,13380.3,0.88525,0.67275,1.33598,0.83609,0.80041,0.79165,0.22803,0.34208,1.23097,1.03296,2.06709,0.00643101,0.00643101,0.00643101
84,13541.4,0.88471,0.66436,1.34266,0.84677,0.81459,0.81461,0.23569,0.34635,1.22449,1.03128,2.06433,0.00635617,0.00635617,0.00635617
85,13702.4,0.88001,0.66116,1.3355,0.84926,0.81519,0.81682,0.23868,0.34308,1.23265,1.02288,2.06914,0.00628101,0.00628101,0.00628101
86,13863.7,0.88336,0.66211,1.33893,0.85006,0.80604,0.80884,0.23492,0.34551,1.23252,1.02944,2.06889,0.00620555,0.00620555,0.00620555
87,14023.2,0.87967,0.66193,1.33679,0.85633,0.81072,0.81253,0.23905,0.34679,1.23592,1.03066,2.08169,0.00612981,0.00612981,0.00612981
88,14188.9,0.87829,0.65727,1.33149,0.85254,0.80853,0.80829,0.24015,0.34488,1.23169,1.03243,2.07298,0.0060538,0.0060538,0.0060538
89,14354.6,0.87417,0.65414,1.33735,0.84548,0.80997,0.80873,0.24269,0.34478,1.22806,1.04585,2.07121,0.00597754,0.00597754,0.00597754
90,14515.7,0.8758,0.65332,1.33427,0.84378,0.81103,0.80905,0.23833,0.34363,1.2371,1.02934,2.08681,0.00590105,0.00590105,0.00590105
91,14676.8,0.8665,0.64402,1.32665,0.85025,0.80726,0.81222,0.23996,0.34303,1.2364,1.03696,2.07736,0.00582435,0.00582435,0.00582435
92,14836.2,0.87794,0.65159,1.33355,0.83608,0.82096,0.81228,0.23878,0.34157,1.23638,1.03095,2.07778,0.00574746,0.00574746,0.00574746
93,14997.7,0.86688,0.6412,1.32508,0.83991,0.81965,0.80797,0.23616,0.34359,1.23625,1.04529,2.08126,0.0056704,0.0056704,0.0056704
94,15158.8,0.86969,0.64275,1.3268,0.82102,0.80585,0.77825,0.23847,0.33946,1.22566,1.05787,2.06745,0.00559318,0.00559318,0.00559318
95,15320,0.86294,0.64061,1.32069,0.83934,0.81347,0.8052,0.23474,0.3404,1.22661,1.05129,2.0665,0.00551584,0.00551584,0.00551584
96,15481,0.86812,0.64254,1.32365,0.84414,0.80978,0.81025,0.24191,0.34424,1.23139,1.03966,2.07539,0.00543837,0.00543837,0.00543837
97,15640.3,0.86325,0.63704,1.33004,0.84954,0.8034,0.80854,0.24746,0.34364,1.22593,1.03303,2.06577,0.00536081,0.00536081,0.00536081
98,15801.9,0.86152,0.63679,1.32489,0.84483,0.80522,0.81317,0.23454,0.34101,1.23313,1.03842,2.08118,0.00528318,0.00528318,0.00528318
99,15963.1,0.86009,0.63294,1.31518,0.84976,0.8066,0.81009,0.23392,0.33841,1.2396,1.03767,2.09282,0.00520548,0.00520548,0.00520548
100,16124.2,0.85884,0.62669,1.32084,0.85334,0.80682,0.81286,0.24023,0.33833,1.23969,1.03073,2.09765,0.00512775,0.00512775,0.00512775
101,16285.4,0.85514,0.62706,1.31571,0.85584,0.80602,0.81225,0.23557,0.33864,1.24111,1.03001,2.10358,0.00505,0.00505,0.00505
102,16442.8,0.85457,0.62615,1.30931,0.85769,0.80614,0.81224,0.2293,0.33861,1.2381,1.03534,2.10742,0.00497225,0.00497225,0.00497225
103,16605.7,0.85322,0.62786,1.31416,0.85645,0.80631,0.8139,0.229,0.34141,1.23602,1.03158,2.10684,0.00489452,0.00489452,0.00489452
104,16766.7,0.8527,0.62633,1.30933,0.85474,0.80663,0.81396,0.23629,0.34128,1.23421,1.02814,2.10657,0.00481682,0.00481682,0.00481682
105,16927.8,0.85044,0.62611,1.30767,0.8502,0.80832,0.81406,0.23686,0.3439,1.2326,1.01816,2.10382,0.00473919,0.00473919,0.00473919
106,17088.9,0.84801,0.61895,1.3102,0.84652,0.81065,0.81355,0.23559,0.34422,1.2316,1.01453,2.10301,0.00466163,0.00466163,0.00466163
107,17245.5,0.84485,0.61998,1.30361,0.84542,0.81512,0.81618,0.24173,0.34532,1.23401,1.01942,2.10749,0.00458416,0.00458416,0.00458416
108,17409.3,0.84526,0.61955,1.30535,0.84769,0.8098,0.81422,0.24126,0.34597,1.23362,1.01686,2.10936,0.00450682,0.00450682,0.00450682
109,17570.5,0.84592,0.61522,1.30382,0.8567,0.80958,0.82219,0.24385,0.34761,1.23422,1.01068,2.11077,0.0044296,0.0044296,0.0044296
110,17731.6,0.84417,0.61839,1.3075,0.85018,0.81086,0.81931,0.24232,0.3472,1.23521,1.00767,2.11095,0.00435254,0.00435254,0.00435254
111,17892.8,0.84078,0.61324,1.29872,0.8528,0.81234,0.8196,0.23569,0.34522,1.23464,1.01284,2.11213,0.00427565,0.00427565,0.00427565
112,18051.1,0.83874,0.61001,1.29321,0.85345,0.81351,0.81911,0.23906,0.34641,1.23287,1.01327,2.10982,0.00419895,0.00419895,0.00419895
113,18215.1,0.83826,0.60895,1.29523,0.85226,0.8126,0.81747,0.24183,0.34472,1.23309,1.01763,2.10889,0.00412246,0.00412246,0.00412246
114,18376.1,0.83328,0.60726,1.30045,0.85745,0.8132,0.82093,0.24393,0.34502,1.22959,1.02306,2.10526,0.0040462,0.0040462,0.0040462
115,18537.3,0.83408,0.60629,1.29329,0.85308,0.81382,0.81961,0.24069,0.34423,1.23053,1.02723,2.10918,0.00397019,0.00397019,0.00397019
116,18698.4,0.83173,0.60479,1.29063,0.8536,0.81282,0.82029,0.23614,0.3454,1.23118,1.02811,2.11018,0.00389445,0.00389445,0.00389445
117,18864.3,0.83194,0.60196,1.29544,0.84368,0.82002,0.81779,0.23772,0.34352,1.23028,1.02791,2.11188,0.00381899,0.00381899,0.00381899
118,19021.5,0.82541,0.60232,1.28871,0.84617,0.82287,0.81878,0.24325,0.34454,1.22958,1.02975,2.11151,0.00374383,0.00374383,0.00374383
119,19182.6,0.82895,0.59488,1.2899,0.8423,0.8227,0.8163,0.2415,0.34472,1.22962,1.03107,2.1125,0.00366899,0.00366899,0.00366899
120,19343.7,0.81809,0.58925,1.27684,0.84402,0.8226,0.81755,0.23723,0.34407,1.22984,1.03503,2.11511,0.0035945,0.0035945,0.0035945
121,19504.8,0.82372,0.59573,1.28351,0.84515,0.8215,0.81726,0.23985,0.34465,1.23057,1.03809,2.11793,0.00352037,0.00352037,0.00352037
122,19665.9,0.82585,0.59802,1.28887,0.8438,0.82079,0.81659,0.23528,0.34313,1.23166,1.03789,2.12072,0.00344661,0.00344661,0.00344661
123,19826.1,0.81968,0.5955,1.28602,0.85209,0.81272,0.81803,0.23371,0.3431,1.23261,1.03887,2.12272,0.00337325,0.00337325,0.00337325
124,19986.3,0.81863,0.58782,1.28358,0.84648,0.81817,0.8181,0.23436,0.34328,1.23363,1.04127,2.12583,0.0033003,0.0033003,0.0033003
125,20147.4,0.81561,0.58592,1.27837,0.84767,0.81875,0.81867,0.23384,0.34308,1.23571,1.03841,2.1306,0.00322778,0.00322778,0.00322778
126,20308.5,0.81441,0.59113,1.27692,0.84925,0.81812,0.81878,0.23525,0.34311,1.23617,1.03824,2.13151,0.00315572,0.00315572,0.00315572
127,20469.6,0.81161,0.5867,1.27211,0.84961,0.81337,0.81849,0.23726,0.3438,1.23734,1.03591,2.13384,0.00308412,0.00308412,0.00308412
128,20628.8,0.81097,0.58392,1.26741,0.85095,0.81266,0.81697,0.23658,0.34466,1.23819,1.03729,2.136,0.003013,0.003013,0.003013
129,20789.8,0.80249,0.57831,1.26588,0.84845,0.81065,0.81721,0.23894,0.34394,1.23755,1.03872,2.13668,0.00294239,0.00294239,0.00294239
130,20951,0.80849,0.58233,1.27013,0.84303,0.81667,0.81781,0.24277,0.34496,1.23693,1.03943,2.13582,0.0028723,0.0028723,0.0028723
131,21112.2,0.80835,0.57647,1.27775,0.84406,0.81363,0.81687,0.24063,0.34568,1.23608,1.03696,2.13525,0.00280275,0.00280275,0.00280275
132,21273,0.80426,0.57432,1.26696,0.84479,0.81524,0.81815,0.2425,0.34616,1.23592,1.03741,2.13648,0.00273375,0.00273375,0.00273375
133,21431.3,0.80326,0.57992,1.26353,0.84556,0.81659,0.81837,0.23874,0.34534,1.23593,1.03941,2.13772,0.00266532,0.00266532,0.00266532
134,21593.7,0.80178,0.57428,1.26646,0.84835,0.81677,0.81925,0.23736,0.34667,1.2361,1.04059,2.13833,0.00259748,0.00259748,0.00259748
135,21754.9,0.7999,0.57302,1.26238,0.84477,0.81515,0.81668,0.23957,0.34633,1.23445,1.03727,2.1368,0.00253024,0.00253024,0.00253024
136,21916,0.79521,0.57191,1.25911,0.84623,0.81548,0.81735,0.24254,0.34693,1.23314,1.03881,2.13531,0.00246363,0.00246363,0.00246363
137,22077.1,0.79445,0.56903,1.25538,0.84899,0.81763,0.81808,0.24299,0.34682,1.23403,1.03922,2.13799,0.00239766,0.00239766,0.00239766
138,22234.3,0.79308,0.56732,1.25702,0.84956,0.81802,0.81834,0.24066,0.34636,1.23455,1.03779,2.13903,0.00233234,0.00233234,0.00233234
139,22397.4,0.79211,0.57054,1.25594,0.85098,0.81667,0.81773,0.24594,0.34851,1.23356,1.03732,2.13881,0.00226769,0.00226769,0.00226769
140,22558.5,0.78845,0.55762,1.25423,0.85024,0.81499,0.81723,0.24886,0.34744,1.23381,1.03645,2.14044,0.00220372,0.00220372,0.00220372
