epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,10871,1.61722,0.94842,1.48975,0.83003,0.74679,0.77172,0.21124,0.31967,1.95199,1.29501,2.008,0.00851333,0.00851333,0.00851333
40,11205.7,1.61483,0.93866,1.47715,0.82139,0.75801,0.78548,0.20118,0.31636,1.98759,1.29675,2.03898,0.00843851,0.00843851,0.00843851
41,11541.5,1.62439,0.92843,1.4884,0.82482,0.75213,0.77191,0.208,0.31838,1.97871,1.27056,2.01886,0.0083622,0.0083622,0.0083622
42,11894.4,1.60685,0.91659,1.47801,0.81274,0.742,0.77685,0.20983,0.32313,1.97427,1.2652,2.03945,0.00828443,0.00828443,0.00828443
43,12254,1.60244,0.91007,1.47259,0.81335,0.75586,0.76575,0.19611,0.30665,2.00707,1.32048,2.05526,0.00820525,0.00820525,0.00820525
44,12621.2,1.60378,0.90078,1.47348,0.81645,0.74123,0.75975,0.21714,0.31667,1.97439,1.30431,2.03671,0.00812468,0.00812468,0.00812468
45,12979.9,1.60596,0.90142,1.47124,0.80404,0.75047,0.77016,0.21537,0.3275,1.96833,1.24798,2.02702,0.00804277,0.00804277,0.00804277
46,13341.5,1.59204,0.89008,1.4693,0.80039,0.75863,0.7675,0.21474,0.31209,1.97327,1.28403,2.04062,0.00795954,0.00795954,0.00795954
47,13695.6,1.59951,0.89635,1.46901,0.80071,0.74223,0.75972,0.21132,0.31633,1.97363,1.28421,2.03612,0.00787503,0.00787503,0.00787503
48,14052.8,1.58964,0.87488,1.4654,0.82088,0.76136,0.76155,0.21283,0.31478,1.99086,1.30555,2.05477,0.00778929,0.00778929,0.00778929
49,14409.5,1.59023,0.87642,1.47122,0.82793,0.76157,0.77367,0.21364,0.31067,1.98012,1.31044,2.04967,0.00770234,0.00770234,0.00770234
50,14755.8,1.59088,0.8787,1.46523,0.81237,0.75659,0.76165,0.20637,0.31144,1.97759,1.31561,2.04636,0.00761423,0.00761423,0.00761423
51,15097.1,1.58251,0.86837,1.45889,0.8153,0.77209,0.7858,0.21851,0.3235,1.96562,1.26138,2.03421,0.007525,0.007525,0.007525
52,15417.4,1.58698,0.85459,1.4615,0.81781,0.76361,0.77518,0.21797,0.3182,1.95938,1.234,2.03606,0.00743468,0.00743468,0.00743468
53,15694,1.5696,0.85455,1.45274,0.81808,0.76226,0.77447,0.21612,0.31931,1.97424,1.24605,2.05116,0.00734332,0.00734332,0.00734332
54,15969.9,1.56874,0.84931,1.45033,0.79933,0.77408,0.76843,0.21982,0.32916,1.9633,1.23065,2.03976,0.00725094,0.00725094,0.00725094
55,16245.1,1.57379,0.84157,1.45826,0.80355,0.75959,0.77037,0.22215,0.32215,1.96709,1.24991,2.04812,0.00715761,0.00715761,0.00715761
