epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3779.86,1.41413,0.64949,0.99493,0.82292,0.79234,0.77359,0.30854,2.03562,1.1777,1.34267,0.00828443,0.00828443,0.00828443
43,3869.63,1.41066,0.65069,0.99576,0.82185,0.79252,0.75678,0.30581,2.04363,1.08274,1.34149,0.00820525,0.00820525,0.00820525
44,3959.39,1.4118,0.64209,0.99271,0.85217,0.78669,0.77993,0.31775,2.05358,1.15351,1.34049,0.00812468,0.00812468,0.00812468
45,4048.99,1.40288,0.64436,0.98988,0.82129,0.78546,0.76517,0.31263,2.06678,1.20273,1.34981,0.00804277,0.00804277,0.00804277
46,4138.57,1.39527,0.63622,0.99162,0.80722,0.79977,0.76775,0.32697,2.01456,1.1253,1.3238,0.00795954,0.00795954,0.00795954
47,4228.32,1.40131,0.63688,0.99022,0.82106,0.79908,0.79295,0.32811,2.05484,1.1196,1.34423,0.00787503,0.00787503,0.00787503
48,4317.91,1.39961,0.63499,0.99215,0.8118,0.79333,0.76448,0.31902,2.04636,1.1408,1.34312,0.00778929,0.00778929,0.00778929
49,4407.59,1.37832,0.62047,0.9861,0.83016,0.79131,0.78594,0.32755,2.03295,1.12419,1.33971,0.00770234,0.00770234,0.00770234
50,4497.23,1.38319,0.62461,0.98411,0.81492,0.79191,0.77441,0.32475,2.0264,1.11424,1.33402,0.00761423,0.00761423,0.00761423
51,4586.84,1.37947,0.62487,0.98717,0.82011,0.79857,0.7669,0.31186,2.06375,1.11541,1.3481,0.007525,0.007525,0.007525
52,4676.53,1.37437,0.6252,0.98212,0.79649,0.78151,0.73498,0.30393,2.04144,1.16577,1.34446,0.00743468,0.00743468,0.00743468
53,4766.32,1.37366,0.62044,0.98031,0.81383,0.78615,0.76703,0.31093,2.05908,1.13833,1.35273,0.00734332,0.00734332,0.00734332
54,4855.77,1.37134,0.62275,0.98609,0.83012,0.78877,0.76057,0.30608,2.04937,1.14986,1.34493,0.00725094,0.00725094,0.00725094
55,4945.69,1.36476,0.6145,0.98106,0.82605,0.80761,0.7868,0.32737,1.99065,1.13651,1.31228,0.00715761,0.00715761,0.00715761
56,5035.15,1.36286,0.61358,0.97806,0.82621,0.804,0.7831,0.32307,2.0177,1.13158,1.3322,0.00706335,0.00706335,0.00706335
57,5124.69,1.35974,0.60916,0.97829,0.81781,0.80892,0.77688,0.32874,2.00615,1.11547,1.33144,0.0069682,0.0069682,0.0069682
58,5214.2,1.3535,0.60502,0.97425,0.82664,0.79752,0.76908,0.32455,2.01054,1.11581,1.32368,0.00687222,0.00687222,0.00687222
59,5303.86,1.34779,0.60658,0.97908,0.83407,0.80146,0.77357,0.32021,2.01997,1.1123,1.33947,0.00677543,0.00677543,0.00677543
60,5393.56,1.3532,0.60229,0.98073,0.82947,0.80009,0.77984,0.32649,2.03997,1.14211,1.3462,0.00667789,0.00667789,0.00667789
61,5483.25,1.34525,0.5981,0.97464,0.83115,0.80442,0.79274,0.32904,2.04629,1.1622,1.34681,0.00657963,0.00657963,0.00657963
62,5573.1,1.33511,0.59396,0.97155,0.82937,0.80658,0.78417,0.32837,2.03157,1.14064,1.34163,0.00648071,0.00648071,0.00648071
63,5662.75,1.34755,0.59769,0.97743,0.82083,0.80967,0.77166,0.32848,2.0254,1.11652,1.34091,0.00638115,0.00638115,0.00638115
64,5752.19,1.34233,0.59886,0.97525,0.8281,0.81364,0.77161,0.32412,2.00227,1.13219,1.33234,0.00628101,0.00628101,0.00628101
65,5841.8,1.32481,0.58347,0.96843,0.8249,0.80778,0.77468,0.32369,2.00776,1.13499,1.33205,0.00618034,0.00618034,0.00618034
66,5931.52,1.3162,0.58015,0.96615,0.83343,0.80292,0.77182,0.32576,2.02889,1.12509,1.3381,0.00607916,0.00607916,0.00607916
67,6021.15,1.31405,0.58007,0.96778,0.82553,0.8062,0.7695,0.32562,2.02406,1.13983,1.34701,0.00597754,0.00597754,0.00597754
68,6110.82,1.31673,0.57943,0.96549,0.83081,0.80944,0.77628,0.33052,2.02193,1.12813,1.34195,0.00587551,0.00587551,0.00587551
69,6200.37,1.30915,0.57577,0.96544,0.8419,0.81294,0.78585,0.33407,2.00897,1.10582,1.33591,0.00577311,0.00577311,0.00577311
70,6289.85,1.3125,0.57592,0.96507,0.82982,0.80847,0.7802,0.33089,2.00142,1.11593,1.33611,0.0056704,0.0056704,0.0056704
71,6379.59,1.30776,0.57363,0.96341,0.82723,0.80701,0.76493,0.3258,2.01207,1.13044,1.34831,0.00556742,0.00556742,0.00556742
72,6469.58,1.30891,0.5755,0.96619,0.83178,0.80394,0.77318,0.33059,2.00852,1.13504,1.34655,0.00546421,0.00546421,0.00546421
73,6559.19,1.2867,0.56467,0.96029,0.80854,0.78969,0.74731,0.32655,2.01423,1.13964,1.3492,0.00536081,0.00536081,0.00536081
